DATAFLOW,LAST UPDATE,freq,unit,c_unload,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SI,SI,2005,55,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SI01,SI,2010,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SI03,SI,2015,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SI03,SI,2020,3,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SI04,SI,2015,40,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SI04,SI,2020,6,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK01,SK,2005,12681,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK01,SK,2010,20506,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK01,SK,2015,24730,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK01,SK,2020,16595,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK02,SK,2005,12,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK02,SK,2010,11,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK02,SK,2015,22,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK02,SK,2020,8,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK03,SK,2005,5,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK04,SK,2005,8,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK04,SK,2010,19,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK04,SK,2015,14,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,SK04,SK,2020,5,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,AT12,AT,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,AT13,AT,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,AT31,AT,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,AT32,AT,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,BE21,BE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,BE21,BE,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,BE33,BE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,BE33,BE,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH01,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH01,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH02,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH02,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH02,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH03,CH,2010,,,C
