DATAFLOW,LAST UPDATE,freq,direct,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2002,64638,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2003,68037,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2004,75344,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2005,80611,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2006,83828,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2007,90894,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2008,95774,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2009,73566,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2010,83861,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2011,88821,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2012,84992,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2013,88967,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2014,89652,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2015,96660,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2016,103283,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2017,102599,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2018,109202,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2019,108697,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2020,102030,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEANR,2021,106069,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,1997,543,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,1998,757,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,1999,784,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2000,677,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2001,638,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2002,594,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2003,604,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2004,697,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2005,708,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2006,757,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2007,938,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2008,41,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2009,14,,
