dataflow,last update,freq,unit,wstatus,nace_r2,geo,time_period,obs_value,obs_flag,conf_status
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2001,100.2,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2002,97.52,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2003,91.86,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2004,90.19,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2005,89.04,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2006,89.51,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2007,90.94,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2008,92.55,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2009,85.62,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2010,83.06,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2011,81.77,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2012,81.28,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2013,79.25,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2014,78.39,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2015,77.5,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2016,75.62,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2017,74.85,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2018,75.57,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2019,76.35,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2020,76.65,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2021,77.17,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2022,79.99,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2023,81.35,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,FI1B1,2024,81.4,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2000,714.0,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2001,726.6,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2002,708.9,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2003,677.8,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2004,649.5,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2005,641.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2006,635.4,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2007,649.6,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2008,647.0,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2009,585.7,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2010,574.5,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2011,582.6,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2012,571.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2013,558.6,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2014,551.9,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2015,542.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2016,533.0,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2017,545.7,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2018,558.8,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2019,556.3,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2020,546.3,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2021,551.4,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2022,567.9,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2023,574.3,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE,2024,574.2,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2000,97.9,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2001,100.4,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2002,94.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2003,85.6,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2004,77.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2005,76.3,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2006,76.2,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2007,75.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2008,76.1,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2009,73.6,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2010,71.0,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,SE110,2011,71.9,,
