nuts2_code,type_id,feature,weight,direction,threshold_val,actual_val
RO21,T4,score_talent,1,+,-1.0134,-3.4547
RO22,T4,score_talent,1,+,-1.0134,-3.6033
RO31,T4,score_talent,1,+,-1.0134,-3.3513
RO41,T4,score_talent,1,+,-1.0134,-3.2354
SK04,T4,score_talent,1,+,-1.0134,-1.3857
CZ02,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
CZ03,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
CZ04,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
CZ05,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
CZ06,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
CZ07,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
CZ08,T4,electricity_price_eur_kwh,1,-,0.2066,0.213
DE40,T4,electricity_price_eur_kwh,1,-,0.2066,0.2106
SK02,T4,electricity_price_eur_kwh,1,-,0.2066,0.2066
SK03,T4,electricity_price_eur_kwh,1,-,0.2066,0.2066
SK04,T4,electricity_price_eur_kwh,1,-,0.2066,0.2066
DE30,T5,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE50,T5,electricity_price_eur_kwh,3,-,0.2066,0.2106
EE00,T5,ntc_import_mw,3,+,4800.0,1300.0
DK03,T5,ultrafast_broadband_pct,3,+,92.97,92.57
SE33,T5,ultrafast_broadband_pct,3,+,92.97,89.125
FI1C,T5,artificial_land_pct,2,+,5.3706,5.3286
BG31,T6,gerd_def_pct_gdp,2,+,1.41,0.77
BG31,T6,ntc_import_mw,2,+,4800.0,3100.0
BG31,T6,lq_nace_c21_m72,1,+,0.468,0.2871
FRD1,T6,lq_nace_c21_m72,1,+,0.468,0.352
FRD2,T6,lq_nace_c21_m72,1,+,0.468,0.348
FRF3,T6,lq_nace_c21_m72,1,+,0.468,0.4588
FRI2,T6,lq_nace_c21_m72,1,+,0.468,0.0
BG31,T6,score_cost,1,+,-0.7369,-2.4039
CZ01,T7,gerd_hes_pct_gdp,2,+,0.36,0.35
HU11,T7,gerd_hes_pct_gdp,2,+,0.36,0.18
IE05,T7,gerd_hes_pct_gdp,2,+,0.36,0.17
IE06,T7,gerd_hes_pct_gdp,2,+,0.36,0.17
IE06,T7,epo_patents_per_mio_pop,2,+,11.2615,0.0
BE24,T7,doing_business_score,2,+,74.45,74.3
BE31,T7,doing_business_score,2,+,74.45,74.3
HU11,T7,doing_business_score,2,+,74.45,73.4
BE24,T7,rail_freight_ktonnes,1,+,180641.25,53032.0
BE31,T7,rail_freight_ktonnes,1,+,180641.25,0.0
DK02,T7,rail_freight_ktonnes,1,+,180641.25,162657.0
DK04,T7,rail_freight_ktonnes,1,+,180641.25,71960.0
FR10,T7,rail_freight_ktonnes,1,+,180641.25,100926.0
IE05,T7,rail_freight_ktonnes,1,+,180641.25,37449.0
LT01,T7,rail_freight_ktonnes,1,+,180641.25,10330.0
ITC1,T8,score_talent,3,+,-1.0134,-1.5961
ITC4,T8,score_talent,3,+,-1.0134,-1.1652
ITH1,T8,score_talent,3,+,-1.0134,-1.4168
ITH2,T8,score_talent,3,+,-1.0134,-1.1561
ITH3,T8,score_talent,3,+,-1.0134,-1.5115
ITH4,T8,score_talent,3,+,-1.0134,-1.1734
ITH5,T8,score_talent,3,+,-1.0134,-1.015
ITI1,T8,score_talent,3,+,-1.0134,-1.3416
ITI4,T8,score_talent,3,+,-1.0134,-1.0751
CZ01,T8,gerd_hes_pct_gdp,2,+,0.36,0.35
LU00,T8,gerd_hes_pct_gdp,2,+,0.36,0.29
ES12,T8,epo_patents_per_mio_pop,2,+,11.2615,9.178
FRB0,T8,ultrafast_broadband_pct,2,+,92.97,90.13
FRC2,T8,ultrafast_broadband_pct,2,+,92.97,90.05
FRD1,T8,ultrafast_broadband_pct,2,+,92.97,88.095
FRD2,T8,ultrafast_broadband_pct,2,+,92.97,88.845
FRE1,T8,ultrafast_broadband_pct,2,+,92.97,92.58
FRE2,T8,ultrafast_broadband_pct,2,+,92.97,89.38
FRF1,T8,ultrafast_broadband_pct,2,+,92.97,92.775
FRF3,T8,ultrafast_broadband_pct,2,+,92.97,90.815
FRG0,T8,ultrafast_broadband_pct,2,+,92.97,90.32
FRH0,T8,ultrafast_broadband_pct,2,+,92.97,90.17
FRI1,T8,ultrafast_broadband_pct,2,+,92.97,91.875
FRI3,T8,ultrafast_broadband_pct,2,+,92.97,90.26
FRJ1,T8,ultrafast_broadband_pct,2,+,92.97,89.205
FRJ2,T8,ultrafast_broadband_pct,2,+,92.97,88.295
FRK1,T8,ultrafast_broadband_pct,2,+,92.97,88.67
FRK2,T8,ultrafast_broadband_pct,2,+,92.97,91.58
FRL0,T8,ultrafast_broadband_pct,2,+,92.97,91.425
FRY5,T8,ultrafast_broadband_pct,2,+,92.97,90.09
ITC1,T8,ultrafast_broadband_pct,2,+,92.97,92.415
SE33,T8,ultrafast_broadband_pct,2,+,92.97,89.125
FRI3,T8,score_cluster,1,+,-1.4354,-2.1305
FRY5,T8,score_cluster,1,+,-1.4354,-1.4692
ITH1,T8,score_cluster,1,+,-1.4354,-1.4424
